Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
10.5433,0.7856,36.3856,96.6835,0
15.1295,16.8827,36.3877,96.6835,0
15.8341,11.3771,36.3864,96.6835,0
14.5963,13.7755,36.3885,96.6835,0
10.079,0.8412,36.3902,96.6835,0
10.0585,0.7678,36.3889,96.6835,0
10.0748,0.8491,36.39,96.6835,0
14.6666,9.1265,36.3911,96.6835,0
8.7365,0.6344,36.3927,96.6835,0
15.0353,20.064,36.3909,96.6835,0
14.5536,2.7264,36.3939,96.6835,0
19.1744,24.7598,36.3947,96.6835,0
20.8291,32.1238,36.3958,96.6835,0
16.8748,17.5981,36.3945,96.6835,0
16.382,17.5019,36.3956,96.6835,0
9.8263,0.6854,36.3967,96.6835,0
9.8452,0.8109,36.3977,96.6835,0
9.8791,0.721,36.3965,96.6835,0
16.9752,22.5294,36.3985,96.6835,0
15.1216,8.3953,36.3996,96.6835,0
9.8083,0.7859,36.4007,96.6835,0
13.4615,12.8163,36.3995,96.6835,0
9.6834,0.9436,36.4006,96.6835,0
9.5821,0.8901,36.4027,96.6835,0
19.1506,20.3239,36.4013,96.6835,0
16.4136,11.9707,36.4023,96.6835,0
18.179,20.8555,36.4033,96.6835,0
10.193,16.8731,36.4059,96.6835,0
20.1265,36.3709,36.4041,96.6835,0
20.4177,33.1593,36.4052,96.6835,0
12.6358,9.1709,36.4068,96.6835,0
16.697,8.9388,36.4054,96.6835,0
16.4879,12.9116,36.4067,96.6835,0
9.6571,0.6487,36.4087,96.6835,0
9.6851,0.7225,36.4098,96.6835,0
9.6965,0.6013,36.4085,96.6835,0
17.5837,15.524,36.4096,96.6835,0
9.992,0.6593,36.4107,96.6835,0
15.1602,9.3463,36.4123,96.6835,0
15.2793,8.0454,36.4106,96.6835,0
10.4206,7.088,36.4117,96.6835,0
9.8573,0.7811,36.4128,96.6835,0
9.8656,0.6489,36.4116,96.6835,0
9.7802,2.6587,36.4137,96.6835,0
13.1898,13.432,36.4148,96.6835,0
17.4447,19.26,36.4159,96.6835,0
